UUID.x	Superpopulation.code
00010525-252c-5335-9724-0c191b5ece1b	NoCODE
004302a4-6871-55e2-945b-3a46b9236f22	NoCODE
0238daa1-5d8a-5638-b1e3-e5b05c592b62	NoCODE
02458de5-f539-5a62-90fc-2cab080fddcc	NoCODE
0259e6c7-4f95-525e-8bf8-d1ae5acf4755	NoCODE
02aa480c-d722-5828-947a-cd32a7c6b7fd	NoCODE
02c0166e-0a15-529e-842f-6f34c9752b7d	NoCODE
02dc135f-053c-593b-ad98-db98f1aae9f6	AFR
02ee6ac9-54bd-5a25-a947-05690d99ff61	NoCODE
0327c455-5800-58e4-b589-d82fa2837ee2	EAS
032a7617-47d9-5852-8d5e-9d7e3a696dbc	EAS
035456b8-489d-5add-a474-7ce4ae000f1b	AFR
03adb9ee-5321-5f7f-8da4-4e8607513e11	NoCODE
03e94303-fb6d-5917-addf-413bbd897e21	NoCODE
044ecc2f-276e-5e40-a3f8-76490c6e8029	NoCODE
04fb24ef-2919-5e12-806d-f62b2b66248a	NoCODE
052c5b3f-ecb3-588e-8397-b22d62a990f8	NoCODE
053ddd85-750d-5d0d-bbad-d3b3bdd43675	NoCODE
0561493d-9651-50ac-a1b6-9a29814611fe	NoCODE
059bec6a-6919-56a9-9e64-dd9f35bece2e	NoCODE
05bd50e2-6ebb-5eaa-9966-b8a19f838319	SAS
05df44b1-04d5-58aa-8f9b-fe9d7ab2e617	NoCODE
064bb03d-88de-5dd1-b7a8-0e9279c07268	NoCODE
065bb2fc-2009-5839-9993-e584bc6e0365	EAS
06afd3e2-0cfb-5533-b476-5b53aeff09ac	NoCODE
06bd8ad6-838f-51a8-af49-1515c0be1279	NoCODE
06cb4b45-f5cb-5370-8700-af656ff06148	NoCODE
06d87d1c-3db8-553a-84dd-94572dd14b4e	NoCODE
06e4a702-d1b0-5c63-b224-3cfd40300f5c	NoCODE
07a73880-9217-5138-9ba9-34c2067847d8	NoCODE
07b5a71d-eb6a-5f84-8f44-211328c61467	NoCODE
07d2b8bf-c60c-539c-9f58-db8b02ccc58b	AMR
07ee23bd-77f8-5890-9a7e-a3d1cb580723	NoCODE
081ad44d-ab54-50ac-ae78-b851aaec6934	AFR
086f7496-17e7-58cb-86ee-31dd78e63123	NoCODE
0960df8e-8e1f-5a72-a45f-968f91d195e5	NoCODE
096649d0-30a4-549d-8f9b-6fb830c12b6a	NoCODE
097119a6-06f2-554f-84c5-bcdfa939a3e4	NoCODE
09ab9330-b45b-569b-8b3d-1ead22dd3575	NoCODE
09e4de42-692a-571f-81a6-55d8d7302d17	NoCODE
0a24ddec-f5d5-55da-a93b-1d497f6bf957	NoCODE
0abbd799-8737-54f5-b587-7bea7100a61f	NoCODE
0ac3061e-86a9-59a8-96ff-225c0eb5011e	NoCODE
0b8240a0-554d-5a80-b6a1-aeb26424cca2	NoCODE
0b94ecd5-0a5e-5096-88bb-eb457f8797a6	NoCODE
0ba90c90-92ca-5779-8132-6e565bc9e948	NoCODE
0bef3d1b-98fc-58aa-9c86-cd381e6e7bd4	NoCODE
0bf4af20-ab8d-56a8-b8d1-6914bce08edc	EUR
0c0b30df-20ba-504b-b0ff-fd1e3306705b	NoCODE
0c93a389-9d49-5b19-9bbf-fab8c4a5935c	NoCODE
0cd5a645-5922-53f4-88a1-4dad65b5371b	NoCODE
0d85492d-dace-5183-874b-9e42048e318a	NoCODE
0d97c285-4384-5358-90d3-21207d5d18bc	NoCODE
